make_id,make_name,model_id,model_name,year
452,BMW,5178,318i,1981
452,BMW,5186,318iC,1981
452,BMW,5185,318iS,1981
452,BMW,5217,318ti,1981
452,BMW,2172,320i,1981
452,BMW,13442,524td,1981
452,BMW,13448,528e,1981
452,BMW,1715,528i,1981
452,BMW,14503,533i,1981
452,BMW,14504,633 csi,1981
452,BMW,13437,635CSi,1981
452,BMW,14505,733i,1981
452,BMW,13425,735i,1981
452,BMW,13426,735iL,1981
452,BMW,5198,840Ci,1981
452,BMW,5200,850CSi,1981
452,BMW,5199,850Ci,1981
452,BMW,1756,C 600,1981
452,BMW,1757,C 650 GT,1981
452,BMW,5108,F 650,1981
452,BMW,5132,F 650 CS,1981
452,BMW,1749,F 650 GS,1981
452,BMW,5109,F 650 S,1981
452,BMW,1754,F 700 GS,1981
452,BMW,1739,F 800 GS,1981
452,BMW,1755,F 800 GT,1981
452,BMW,1740,F 800 R,1981
452,BMW,1737,F 800 S,1981
452,BMW,1738,F 800 ST,1981
452,BMW,1736,G 450 X,1981
452,BMW,26851,G 650,1981
452,BMW,1750,G 650 GS,1981
452,BMW,1741,HP2,1981
452,BMW,1758,HP4,1981
452,BMW,14579,K 100 LT,1981
452,BMW,14580,K 100 RS,1981
452,BMW,14584,K 100 RT,1981
452,BMW,5098,K 1100 LT,1981
452,BMW,5094,K 1100 RS,1981
452,BMW,2359,K 1200 GT,1981
452,BMW,2355,K 1200 LT,1981
452,BMW,2353,K 1200 R,1981
452,BMW,5111,K 1200 RS,1981
452,BMW,2354,K 1200 S,1981
452,BMW,1747,K 1300 GT,1981
452,BMW,1748,K 1300 R,1981
452,BMW,1746,K 1300 S,1981
452,BMW,1752,K 1600 GT,1981
452,BMW,1753,K 1600 GTL,1981
452,BMW,14581,K1,1981
452,BMW,14583,K100,1981
452,BMW,5095,K75,1981
452,BMW,5097,K75RT,1981
452,BMW,5096,K75S,1981
452,BMW,13439,L7,1981
452,BMW,1729,M6,1981
452,BMW,5099,R 100,1981
452,BMW,14829,R 100 CS,1981
452,BMW,5102,R 100 GS,1981
452,BMW,5100,R 100 R,1981
452,BMW,14578,R 100 RS,1981
452,BMW,5101,R 100 RT,1981
452,BMW,5106,R 1100 GS,1981
452,BMW,5104,R 1100 R,1981
452,BMW,5105,R 1100 RS,1981
452,BMW,5110,R 1100 RT,1981
452,BMW,5136,R 1100 S,1981
452,BMW,2350,R 1150 GS,1981
452,BMW,2360,R 1150 R,1981
452,BMW,5137,R 1150 RS,1981
452,BMW,5138,R 1150 RT,1981
452,BMW,5112,R 1200 C,1981
452,BMW,5139,R 1200 CL,1981
452,BMW,1743,R 1200 GS,1981
452,BMW,1744,R 1200 R,1981
452,BMW,1745,R 1200 RT,1981
452,BMW,2351,R 1200 S,1981
452,BMW,2352,R 1200 ST,1981
452,BMW,14585,R 65,1981
452,BMW,14589,R 65 LS,1981
452,BMW,14586,R 80,1981
452,BMW,14588,R 80 GS,1981
452,BMW,14587,R 80 RT,1981
452,BMW,14590,R 80 ST,1981
452,BMW,2361,R 850 R,1981
452,BMW,1751,R 900 RT,1981
452,BMW,1760,R nineT,1981
452,BMW,1759,S 1000 R,1981
452,BMW,1742,S 1000 RR,1981
452,BMW,5178,318i,1982
452,BMW,5186,318iC,1982
452,BMW,5185,318iS,1982
452,BMW,5217,318ti,1982
452,BMW,2172,320i,1982
452,BMW,13442,524td,1982
452,BMW,13448,528e,1982
452,BMW,14503,533i,1982
452,BMW,14504,633 csi,1982
452,BMW,13437,635CSi,1982
452,BMW,14505,733i,1982
452,BMW,13425,735i,1982
452,BMW,13426,735iL,1982
452,BMW,5198,840Ci,1982
452,BMW,5200,850CSi,1982
452,BMW,5199,850Ci,1982
452,BMW,1756,C 600,1982
452,BMW,1757,C 650 GT,1982
452,BMW,5108,F 650,1982
452,BMW,5132,F 650 CS,1982
452,BMW,1749,F 650 GS,1982
452,BMW,5109,F 650 S,1982
452,BMW,1754,F 700 GS,1982
452,BMW,1739,F 800 GS,1982
452,BMW,1755,F 800 GT,1982
452,BMW,1740,F 800 R,1982
452,BMW,1737,F 800 S,1982
452,BMW,1738,F 800 ST,1982
452,BMW,1736,G 450 X,1982
452,BMW,26851,G 650,1982
452,BMW,1750,G 650 GS,1982
452,BMW,1741,HP2,1982
452,BMW,1758,HP4,1982
452,BMW,14579,K 100 LT,1982
452,BMW,14580,K 100 RS,1982
452,BMW,14584,K 100 RT,1982
452,BMW,5098,K 1100 LT,1982
452,BMW,5094,K 1100 RS,1982
452,BMW,2359,K 1200 GT,1982
452,BMW,2355,K 1200 LT,1982
452,BMW,2353,K 1200 R,1982
452,BMW,5111,K 1200 RS,1982
452,BMW,2354,K 1200 S,1982
452,BMW,1747,K 1300 GT,1982
452,BMW,1748,K 1300 R,1982
452,BMW,1746,K 1300 S,1982
452,BMW,1752,K 1600 GT,1982
452,BMW,1753,K 1600 GTL,1982
452,BMW,14581,K1,1982
452,BMW,14583,K100,1982
452,BMW,5095,K75,1982
452,BMW,5097,K75RT,1982
452,BMW,5096,K75S,1982
452,BMW,13439,L7,1982
452,BMW,1729,M6,1982
452,BMW,5099,R 100,1982
452,BMW,14829,R 100 CS,1982
452,BMW,5102,R 100 GS,1982
452,BMW,5100,R 100 R,1982
452,BMW,14578,R 100 RS,1982
452,BMW,5101,R 100 RT,1982
452,BMW,5106,R 1100 GS,1982
452,BMW,5104,R 1100 R,1982
452,BMW,5105,R 1100 RS,1982
452,BMW,5110,R 1100 RT,1982
452,BMW,5136,R 1100 S,1982
452,BMW,2350,R 1150 GS,1982
452,BMW,2360,R 1150 R,1982
452,BMW,5137,R 1150 RS,1982
452,BMW,5138,R 1150 RT,1982
452,BMW,5112,R 1200 C,1982
452,BMW,5139,R 1200 CL,1982
452,BMW,1743,R 1200 GS,1982
452,BMW,1744,R 1200 R,1982
452,BMW,1745,R 1200 RT,1982
452,BMW,2351,R 1200 S,1982
452,BMW,2352,R 1200 ST,1982
452,BMW,14585,R 65,1982
452,BMW,14589,R 65 LS,1982
452,BMW,14586,R 80,1982
452,BMW,14588,R 80 GS,1982
452,BMW,14587,R 80 RT,1982
452,BMW,14590,R 80 ST,1982
452,BMW,2361,R 850 R,1982
452,BMW,1751,R 900 RT,1982
452,BMW,1760,R nineT,1982
452,BMW,1759,S 1000 R,1982
452,BMW,1742,S 1000 RR,1982
452,BMW,5178,318i,1983
452,BMW,5186,318iC,1983
452,BMW,5185,318iS,1983
452,BMW,5217,318ti,1983
452,BMW,2172,320i,1983
452,BMW,13442,524td,1983
452,BMW,13448,528e,1983
452,BMW,14503,533i,1983
452,BMW,14504,633 csi,1983
452,BMW,13437,635CSi,1983
452,BMW,14505,733i,1983
452,BMW,13425,735i,1983
452,BMW,13426,735iL,1983
452,BMW,5198,840Ci,1983
452,BMW,5200,850CSi,1983
452,BMW,5199,850Ci,1983
452,BMW,1756,C 600,1983
452,BMW,1757,C 650 GT,1983
452,BMW,5108,F 650,1983
452,BMW,5132,F 650 CS,1983
452,BMW,1749,F 650 GS,1983
452,BMW,5109,F 650 S,1983
452,BMW,1754,F 700 GS,1983
452,BMW,1739,F 800 GS,1983
452,BMW,1755,F 800 GT,1983
452,BMW,1740,F 800 R,1983
452,BMW,1737,F 800 S,1983
452,BMW,1738,F 800 ST,1983
452,BMW,1736,G 450 X,1983
452,BMW,26851,G 650,1983
452,BMW,1750,G 650 GS,1983
452,BMW,1741,HP2,1983
452,BMW,1758,HP4,1983
452,BMW,14579,K 100 LT,1983
452,BMW,14580,K 100 RS,1983
452,BMW,14584,K 100 RT,1983
452,BMW,5098,K 1100 LT,1983
452,BMW,5094,K 1100 RS,1983
452,BMW,2359,K 1200 GT,1983
452,BMW,2355,K 1200 LT,1983
452,BMW,2353,K 1200 R,1983
452,BMW,5111,K 1200 RS,1983
452,BMW,2354,K 1200 S,1983
452,BMW,1747,K 1300 GT,1983
452,BMW,1748,K 1300 R,1983
452,BMW,1746,K 1300 S,1983
452,BMW,1752,K 1600 GT,1983
452,BMW,1753,K 1600 GTL,1983
452,BMW,14581,K1,1983
452,BMW,14583,K100,1983
452,BMW,5095,K75,1983
452,BMW,5097,K75RT,1983
452,BMW,5096,K75S,1983
452,BMW,13439,L7,1983
452,BMW,1729,M6,1983
452,BMW,5099,R 100,1983
452,BMW,14829,R 100 CS,1983
452,BMW,5102,R 100 GS,1983
452,BMW,5100,R 100 R,1983
452,BMW,14578,R 100 RS,1983
452,BMW,5101,R 100 RT,1983
452,BMW,5106,R 1100 GS,1983
452,BMW,5104,R 1100 R,1983
452,BMW,5105,R 1100 RS,1983
452,BMW,5110,R 1100 RT,1983
452,BMW,5136,R 1100 S,1983
452,BMW,2350,R 1150 GS,1983
452,BMW,2360,R 1150 R,1983
452,BMW,5137,R 1150 RS,1983
452,BMW,5138,R 1150 RT,1983
452,BMW,5112,R 1200 C,1983
452,BMW,5139,R 1200 CL,1983
452,BMW,1743,R 1200 GS,1983
452,BMW,1744,R 1200 R,1983
452,BMW,1745,R 1200 RT,1983
452,BMW,2351,R 1200 S,1983
452,BMW,2352,R 1200 ST,1983
452,BMW,14585,R 65,1983
452,BMW,14589,R 65 LS,1983
452,BMW,14586,R 80,1983
452,BMW,14588,R 80 GS,1983
452,BMW,14587,R 80 RT,1983
452,BMW,14590,R 80 ST,1983
452,BMW,2361,R 850 R,1983
452,BMW,1751,R 900 RT,1983
452,BMW,1760,R nineT,1983
452,BMW,1759,S 1000 R,1983
452,BMW,1742,S 1000 RR,1983
452,BMW,5178,318i,1984
452,BMW,5186,318iC,1984
452,BMW,5185,318iS,1984
452,BMW,5217,318ti,1984
452,BMW,13442,524td,1984
452,BMW,13448,528e,1984
452,BMW,14503,533i,1984
452,BMW,14504,633 csi,1984
452,BMW,13437,635CSi,1984
452,BMW,14505,733i,1984
452,BMW,13425,735i,1984
452,BMW,13426,735iL,1984
452,BMW,5198,840Ci,1984
452,BMW,5200,850CSi,1984
452,BMW,5199,850Ci,1984
452,BMW,1756,C 600,1984
452,BMW,1757,C 650 GT,1984
452,BMW,5108,F 650,1984
452,BMW,5132,F 650 CS,1984
452,BMW,1749,F 650 GS,1984
452,BMW,5109,F 650 S,1984
452,BMW,1754,F 700 GS,1984
452,BMW,1739,F 800 GS,1984
452,BMW,1755,F 800 GT,1984
452,BMW,1740,F 800 R,1984
452,BMW,1737,F 800 S,1984
452,BMW,1738,F 800 ST,1984
452,BMW,1736,G 450 X,1984
452,BMW,26851,G 650,1984
452,BMW,1750,G 650 GS,1984
452,BMW,1741,HP2,1984
452,BMW,1758,HP4,1984
452,BMW,14579,K 100 LT,1984
452,BMW,14580,K 100 RS,1984
452,BMW,14584,K 100 RT,1984
452,BMW,5098,K 1100 LT,1984
452,BMW,5094,K 1100 RS,1984
452,BMW,2359,K 1200 GT,1984
452,BMW,2355,K 1200 LT,1984
452,BMW,2353,K 1200 R,1984
452,BMW,5111,K 1200 RS,1984
452,BMW,2354,K 1200 S,1984
452,BMW,1747,K 1300 GT,1984
452,BMW,1748,K 1300 R,1984
452,BMW,1746,K 1300 S,1984
452,BMW,1752,K 1600 GT,1984
452,BMW,1753,K 1600 GTL,1984
452,BMW,14581,K1,1984
452,BMW,14583,K100,1984
452,BMW,5095,K75,1984
452,BMW,5097,K75RT,1984
452,BMW,5096,K75S,1984
452,BMW,13439,L7,1984
452,BMW,1729,M6,1984
452,BMW,5099,R 100,1984
452,BMW,5102,R 100 GS,1984
452,BMW,5100,R 100 R,1984
452,BMW,14578,R 100 RS,1984
452,BMW,5101,R 100 RT,1984
452,BMW,5106,R 1100 GS,1984
452,BMW,5104,R 1100 R,1984
452,BMW,5105,R 1100 RS,1984
452,BMW,5110,R 1100 RT,1984
452,BMW,5136,R 1100 S,1984
452,BMW,2350,R 1150 GS,1984
452,BMW,2360,R 1150 R,1984
452,BMW,5137,R 1150 RS,1984
452,BMW,5138,R 1150 RT,1984
452,BMW,5112,R 1200 C,1984
452,BMW,5139,R 1200 CL,1984
452,BMW,1743,R 1200 GS,1984
452,BMW,1744,R 1200 R,1984
452,BMW,1745,R 1200 RT,1984
452,BMW,2351,R 1200 S,1984
452,BMW,2352,R 1200 ST,1984
452,BMW,14585,R 65,1984
452,BMW,14589,R 65 LS,1984
452,BMW,14586,R 80,1984
452,BMW,14588,R 80 GS,1984
452,BMW,14587,R 80 RT,1984
452,BMW,14590,R 80 ST,1984
452,BMW,2361,R 850 R,1984
452,BMW,1751,R 900 RT,1984
452,BMW,1760,R nineT,1984
452,BMW,1759,S 1000 R,1984
452,BMW,1742,S 1000 RR,1984
452,BMW,5178,318i,1985
452,BMW,5186,318iC,1985
452,BMW,5185,318iS,1985
452,BMW,5217,318ti,1985
452,BMW,13431,325/325e,1985
452,BMW,13442,524td,1985
452,BMW,13448,528e,1985
452,BMW,1716,535i,1985
452,BMW,13437,635CSi,1985
452,BMW,13425,735i,1985
452,BMW,13426,735iL,1985
452,BMW,5198,840Ci,1985
452,BMW,5200,850CSi,1985
452,BMW,5199,850Ci,1985
452,BMW,1756,C 600,1985
452,BMW,1757,C 650 GT,1985
452,BMW,5108,F 650,1985
452,BMW,5132,F 650 CS,1985
452,BMW,1749,F 650 GS,1985
452,BMW,5109,F 650 S,1985
452,BMW,1754,F 700 GS,1985
452,BMW,1739,F 800 GS,1985
452,BMW,1755,F 800 GT,1985
452,BMW,1740,F 800 R,1985
452,BMW,1737,F 800 S,1985
452,BMW,1738,F 800 ST,1985
452,BMW,1736,G 450 X,1985
452,BMW,26851,G 650,1985
452,BMW,1750,G 650 GS,1985
452,BMW,1741,HP2,1985
452,BMW,1758,HP4,1985
452,BMW,14579,K 100 LT,1985
452,BMW,14580,K 100 RS,1985
452,BMW,14584,K 100 RT,1985
452,BMW,5098,K 1100 LT,1985
452,BMW,5094,K 1100 RS,1985
452,BMW,2359,K 1200 GT,1985
452,BMW,2355,K 1200 LT,1985
452,BMW,2353,K 1200 R,1985
452,BMW,5111,K 1200 RS,1985
452,BMW,2354,K 1200 S,1985
452,BMW,1747,K 1300 GT,1985
452,BMW,1748,K 1300 R,1985
452,BMW,1746,K 1300 S,1985
452,BMW,1752,K 1600 GT,1985
452,BMW,1753,K 1600 GTL,1985
452,BMW,14581,K1,1985
452,BMW,14583,K100,1985
452,BMW,5095,K75,1985
452,BMW,5097,K75RT,1985
452,BMW,5096,K75S,1985
452,BMW,13439,L7,1985
452,BMW,1729,M6,1985
452,BMW,5099,R 100,1985
452,BMW,5102,R 100 GS,1985
452,BMW,5100,R 100 R,1985
452,BMW,14578,R 100 RS,1985
452,BMW,5101,R 100 RT,1985
452,BMW,5106,R 1100 GS,1985
452,BMW,5104,R 1100 R,1985
452,BMW,5105,R 1100 RS,1985
452,BMW,5110,R 1100 RT,1985
452,BMW,5136,R 1100 S,1985
452,BMW,2350,R 1150 GS,1985
452,BMW,2360,R 1150 R,1985
452,BMW,5137,R 1150 RS,1985
452,BMW,5138,R 1150 RT,1985
452,BMW,5112,R 1200 C,1985
452,BMW,5139,R 1200 CL,1985
452,BMW,1743,R 1200 GS,1985
452,BMW,1744,R 1200 R,1985
452,BMW,1745,R 1200 RT,1985
452,BMW,2351,R 1200 S,1985
452,BMW,2352,R 1200 ST,1985
452,BMW,14585,R 65,1985
452,BMW,14589,R 65 LS,1985
452,BMW,14586,R 80,1985
452,BMW,14588,R 80 GS,1985
452,BMW,14587,R 80 RT,1985
452,BMW,2361,R 850 R,1985
452,BMW,1751,R 900 RT,1985
452,BMW,1760,R nineT,1985
452,BMW,1759,S 1000 R,1985
452,BMW,1742,S 1000 RR,1985
452,BMW,5217,318ti,1986
452,BMW,13431,325/325e,1986
452,BMW,33706,325/325eS,1986
452,BMW,13429,325ix,1986
452,BMW,13442,524td,1986
452,BMW,13448,528e,1986
452,BMW,13438,535i/535is,1986
452,BMW,13437,635CSi,1986
452,BMW,13425,735i,1986
452,BMW,13426,735iL,1986
452,BMW,5198,840Ci,1986
452,BMW,5200,850CSi,1986
452,BMW,5199,850Ci,1986
452,BMW,1756,C 600,1986
452,BMW,1757,C 650 GT,1986
452,BMW,5108,F 650,1986
452,BMW,5132,F 650 CS,1986
452,BMW,1749,F 650 GS,1986
452,BMW,5109,F 650 S,1986
452,BMW,1754,F 700 GS,1986
452,BMW,1739,F 800 GS,1986
452,BMW,1755,F 800 GT,1986
452,BMW,1740,F 800 R,1986
452,BMW,1737,F 800 S,1986
452,BMW,1738,F 800 ST,1986
452,BMW,1736,G 450 X,1986
452,BMW,26851,G 650,1986
452,BMW,1750,G 650 GS,1986
452,BMW,1741,HP2,1986
452,BMW,1758,HP4,1986
452,BMW,14579,K 100 LT,1986
452,BMW,14580,K 100 RS,1986
452,BMW,14584,K 100 RT,1986
452,BMW,5098,K 1100 LT,1986
452,BMW,5094,K 1100 RS,1986
452,BMW,2359,K 1200 GT,1986
452,BMW,2355,K 1200 LT,1986
452,BMW,2353,K 1200 R,1986
452,BMW,5111,K 1200 RS,1986
452,BMW,2354,K 1200 S,1986
452,BMW,1747,K 1300 GT,1986
452,BMW,1748,K 1300 R,1986
452,BMW,1746,K 1300 S,1986
452,BMW,1752,K 1600 GT,1986
452,BMW,1753,K 1600 GTL,1986
452,BMW,14581,K1,1986
452,BMW,14583,K100,1986
452,BMW,5095,K75,1986
452,BMW,5097,K75RT,1986
452,BMW,5096,K75S,1986
452,BMW,13439,L7,1986
452,BMW,1729,M6,1986
452,BMW,5099,R 100,1986
452,BMW,5102,R 100 GS,1986
452,BMW,5100,R 100 R,1986
452,BMW,14578,R 100 RS,1986
452,BMW,5101,R 100 RT,1986
452,BMW,5106,R 1100 GS,1986
452,BMW,5104,R 1100 R,1986
452,BMW,5105,R 1100 RS,1986
452,BMW,5110,R 1100 RT,1986
452,BMW,5136,R 1100 S,1986
452,BMW,2350,R 1150 GS,1986
452,BMW,2360,R 1150 R,1986
452,BMW,5137,R 1150 RS,1986
452,BMW,5138,R 1150 RT,1986
452,BMW,5112,R 1200 C,1986
452,BMW,5139,R 1200 CL,1986
452,BMW,1743,R 1200 GS,1986
452,BMW,1744,R 1200 R,1986
452,BMW,1745,R 1200 RT,1986
452,BMW,2351,R 1200 S,1986
452,BMW,2352,R 1200 ST,1986
452,BMW,14585,R 65,1986
452,BMW,14586,R 80,1986
452,BMW,14588,R 80 GS,1986
452,BMW,14587,R 80 RT,1986
452,BMW,2361,R 850 R,1986
452,BMW,1751,R 900 RT,1986
452,BMW,1760,R nineT,1986
452,BMW,1759,S 1000 R,1986
452,BMW,1742,S 1000 RR,1986
452,BMW,5217,318ti,1987
452,BMW,2172,320i,1987
452,BMW,13431,325/325e,1987
452,BMW,33706,325/325eS,1987
452,BMW,2764,325i,1987
452,BMW,5190,325iC,1987
452,BMW,5187,325iS,1987
452,BMW,13448,528e,1987
452,BMW,1716,535i,1987
452,BMW,13438,535i/535is,1987
452,BMW,13437,635CSi,1987
452,BMW,13425,735i,1987
452,BMW,5198,840Ci,1987
452,BMW,5200,850CSi,1987
452,BMW,5199,850Ci,1987
452,BMW,1756,C 600,1987
452,BMW,1757,C 650 GT,1987
452,BMW,5108,F 650,1987
452,BMW,5132,F 650 CS,1987
452,BMW,1749,F 650 GS,1987
452,BMW,5109,F 650 S,1987
452,BMW,1754,F 700 GS,1987
452,BMW,1739,F 800 GS,1987
452,BMW,1755,F 800 GT,1987
452,BMW,1740,F 800 R,1987
452,BMW,1737,F 800 S,1987
452,BMW,1738,F 800 ST,1987
452,BMW,1736,G 450 X,1987
452,BMW,26851,G 650,1987
452,BMW,1750,G 650 GS,1987
452,BMW,1741,HP2,1987
452,BMW,1758,HP4,1987
452,BMW,14579,K 100 LT,1987
452,BMW,14580,K 100 RS,1987
452,BMW,14584,K 100 RT,1987
452,BMW,5098,K 1100 LT,1987
452,BMW,5094,K 1100 RS,1987
452,BMW,2359,K 1200 GT,1987
452,BMW,2355,K 1200 LT,1987
452,BMW,2353,K 1200 R,1987
452,BMW,5111,K 1200 RS,1987
452,BMW,2354,K 1200 S,1987
452,BMW,1747,K 1300 GT,1987
452,BMW,1748,K 1300 R,1987
452,BMW,1746,K 1300 S,1987
452,BMW,1752,K 1600 GT,1987
452,BMW,1753,K 1600 GTL,1987
452,BMW,14581,K1,1987
452,BMW,14583,K100,1987
452,BMW,5095,K75,1987
452,BMW,5097,K75RT,1987
452,BMW,5096,K75S,1987
452,BMW,13439,L7,1987
452,BMW,1729,M6,1987
452,BMW,5099,R 100,1987
452,BMW,5102,R 100 GS,1987
452,BMW,5100,R 100 R,1987
452,BMW,14578,R 100 RS,1987
452,BMW,5101,R 100 RT,1987
452,BMW,5106,R 1100 GS,1987
452,BMW,5104,R 1100 R,1987
452,BMW,5105,R 1100 RS,1987
452,BMW,5110,R 1100 RT,1987
452,BMW,5136,R 1100 S,1987
452,BMW,2350,R 1150 GS,1987
452,BMW,2360,R 1150 R,1987
452,BMW,5137,R 1150 RS,1987
452,BMW,5138,R 1150 RT,1987
452,BMW,5112,R 1200 C,1987
452,BMW,5139,R 1200 CL,1987
452,BMW,1743,R 1200 GS,1987
452,BMW,1744,R 1200 R,1987
452,BMW,1745,R 1200 RT,1987
452,BMW,2351,R 1200 S,1987
452,BMW,2352,R 1200 ST,1987
452,BMW,14585,R 65,1987
452,BMW,14586,R 80,1987
452,BMW,14588,R 80 GS,1987
452,BMW,14587,R 80 RT,1987
452,BMW,2361,R 850 R,1987
452,BMW,1751,R 900 RT,1987
452,BMW,1760,R nineT,1987
452,BMW,1759,S 1000 R,1987
452,BMW,1742,S 1000 RR,1987
452,BMW,13431,325/325e,1988
452,BMW,33706,325/325eS,1988
452,BMW,2764,325i,1988
452,BMW,5190,325iC,1988
452,BMW,5187,325iS,1988
452,BMW,13429,325ix,1988
452,BMW,13448,528e,1988
452,BMW,1716,535i,1988
452,BMW,13438,535i/535is,1988
452,BMW,13437,635CSi,1988
452,BMW,13425,735i,1988
452,BMW,13426,735iL,1988
452,BMW,9453,750iL,1988
452,BMW,5198,840Ci,1988
452,BMW,5200,850CSi,1988
452,BMW,5199,850Ci,1988
452,BMW,1756,C 600,1988
452,BMW,1757,C 650 GT,1988
452,BMW,5108,F 650,1988
452,BMW,5132,F 650 CS,1988
452,BMW,1749,F 650 GS,1988
452,BMW,5109,F 650 S,1988
452,BMW,1754,F 700 GS,1988
452,BMW,1739,F 800 GS,1988
452,BMW,1755,F 800 GT,1988
452,BMW,1740,F 800 R,1988
452,BMW,1737,F 800 S,1988
452,BMW,1738,F 800 ST,1988
452,BMW,1736,G 450 X,1988
452,BMW,26851,G 650,1988
452,BMW,1750,G 650 GS,1988
452,BMW,1741,HP2,1988
452,BMW,1758,HP4,1988
452,BMW,14579,K 100 LT,1988
452,BMW,14580,K 100 RS,1988
452,BMW,5098,K 1100 LT,1988
452,BMW,5094,K 1100 RS,1988
452,BMW,2359,K 1200 GT,1988
452,BMW,2355,K 1200 LT,1988
452,BMW,2353,K 1200 R,1988
452,BMW,5111,K 1200 RS,1988
452,BMW,2354,K 1200 S,1988
452,BMW,1747,K 1300 GT,1988
452,BMW,1748,K 1300 R,1988
452,BMW,1746,K 1300 S,1988
452,BMW,1752,K 1600 GT,1988
452,BMW,1753,K 1600 GTL,1988
452,BMW,14581,K1,1988
452,BMW,5095,K75,1988
452,BMW,5097,K75RT,1988
